Event_id,Rating,People,Review,Name,Price
148,3.8,29,Good,"OYO 48814 Rustic Village - By RivasaNear McDonalds Prabhuwada, Calangute",₹1504
149,3.8,11,Good,"OYO 28139 Hotel EmpireNear Pragati B.Ed College, Pernem, Goa",₹994
150,3.7,305,Good,"SPOT ON 37412 Hotel Priti International SPOTNational Highway, Bardez, Goa


Hurry. Only 1 room left",₹1366
151,3.7,293,Good,"Capital O 30965 Baga ResidencyCalangute, Goa",₹2014
152,3.7,263,Good,"OYO Home 14028 Ocean VillaNear Chogum Road, Sangolda, Goa",₹1557
153,3.7,43,Good,"OYO 28452 Alluring Studio NerulNear St. Sebastian Church, Candolim Rd, North Goa


Hurry. Only 1 room left",₹2551
154,3.7,11,Good,"OYO 45983 Savera Holiday HomeNear Club LPK, Candolim, Goa",₹1489
155,3.7,7,Good,"OYO 36888 Sanskruti RetreatNear B.ed.College, Torxem, Goa",₹913
156,3.7,6,Good,"OYO 48339 Zumbrai Savio Guest HouseNear Azaya Beach Resort, Benaulim


Hurry. Only 1 room left",₹1561
157,3.6,84,Good,"OYO 10143 Tahira Beach ResortNear Ashvem Beach, Mandrem, Goa








8 people booked this hotel today",₹1858
158,3.6,56,Good,"OYO 49710 Red Rose Guest HouseNear Palolem Beach, Goa",₹984
159,3.6,38,Good,"OYO 30128 Reddy's Hotel DeluxeCobravaddo, Baga, Goa",₹2559
160,3.6,8,Good,"OYO 65004 La Vihan ResortMorjim, Goa",₹667
161,3.5,217,Good,"OYO 2374 Renton ManorArpora Junction, Baga, Goa








20 people booked this hotel today",₹1771
162,3.5,202,Good,"OYO 16512 Field View StudioMaiden Meadows, Utorda, Goa


Hurry. Only 1 room left",₹1405
163,3.5,47,Good,"OYO 63283 Shakti PalaceShanti Nagar, Goa",₹1487
164,3.5,30,Good,"OYO 40637 Seagull ResortNear Captain of Ports, Caeiro Bunder, Betul Goa",₹1014
165,3.4,199,Fair,"OYO 3043 Grande Ave Maria ResortNear Candolim Beach Road, Camotim Vaddo, Candolim








12 people booked this hotel in last 6 hours",₹1702
166,3.4,158,Fair,"SPOT ON 16005 Sunshine Homes SPOTNear Rodrigues Ward, Cavelossim, Goa",₹1216
167,3.4,94,Fair,"OYO 27603 Flamingo'sNear Trinity Beach, Goa


Hurry. Only 1 room left",₹1472
168,3.4,93,Fair,"OYO 2693 Evershine GuesthouseNear Anjuna Beach Road, Anjuna, Goa",₹1262
169,3.4,32,Fair,"OYO Home 47510 Peaceful Stay ParraNear Don Bosco Youth Welfare Centre, Verla, Goa


Hurry. Only 1 room left",₹2059
170,3.4,12,Fair,"OYO 15944 New Ocean RideNear Calangute Anjuna Road, Goa


Hurry. Only 1 room left",₹1754
171,3.4,10,Fair,"OYO Home 68812 Radiant Studios ParraParra Bardez, Goa",₹1414
172,3.3,39,Fair,"SPOT ON 60009 Grand Hidden Village SPOTArambol, Goa


Hurry. Only 1 room left",₹551
173,3.2,6,Fair,"OYO Home 65250 Spacious 1 BHK MandremBandeshwar Temple, Mandrem, Goa


Hurry. Only 1 room left",₹1014
174,3.2,5,Fair,"OYO 22417 Pleasure InnNear Morjim Beach Road, Goa",₹1889
